"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2019","334.49","336.01","338.98","333.88","314.55K","-0.42%"
"09/16/2019","334.15","333.00","336.29","331.66","108.46K","-0.10%"
"09/17/2019","337.45","335.02","338.57","329.46","375.84K","0.99%"
"09/18/2019","338.34","337.13","339.60","335.00","191.06K","0.26%"
"09/19/2019","339.73","338.98","343.98","337.68","133.32K","0.41%"
"09/20/2019","345.24","342.16","347.27","342.16","415.94K","1.62%"
"09/23/2019","342.02","345.73","348.39","341.96","211.81K","-0.93%"
"09/24/2019","341.62","344.89","347.50","339.56","209.20K","-0.12%"
"09/25/2019","342.99","340.68","344.01","336.58","244.98K","0.40%"
"09/26/2019","340.21","343.26","344.60","336.89","114.67K","-0.81%"
"09/27/2019","333.99","341.58","342.23","333.05","316.92K","-1.83%"
"09/30/2019","332.74","333.82","337.01","332.22","127.75K","-0.37%"
"10/01/2019","327.28","333.55","336.40","325.59","153.27K","-1.64%"
"10/02/2019","327.16","326.02","328.50","323.80","310.38K","-0.04%"
"10/03/2019","333.56","327.62","335.04","322.11","191.64K","1.96%"
"10/04/2019","339.37","334.11","339.57","334.11","173.95K","1.74%"
"10/07/2019","338.52","337.44","341.40","335.76","177.32K","-0.25%"
"10/08/2019","319.73","333.03","335.57","319.26","307.62K","-5.55%"
"10/09/2019","323.33","323.00","327.13","322.84","144.77K","1.13%"
"10/10/2019","324.29","322.81","326.29","322.44","315.07K","0.30%"
"10/11/2019","331.24","328.11","335.53","327.54","261.19K","2.14%"
"10/14/2019","331.55","332.34","334.53","330.00","320.84K","0.09%"
"10/15/2019","334.51","332.82","336.00","332.82","135.57K","0.89%"
"10/16/2019","337.60","334.08","338.66","333.21","298.24K","0.92%"
"10/17/2019","343.45","339.90","344.45","339.12","241.38K","1.73%"
"10/18/2019","343.27","343.07","345.15","341.75","149.72K","-0.05%"
"10/21/2019","345.56","344.44","346.86","342.00","173.47K","0.67%"
"10/22/2019","343.54","345.87","348.11","342.13","136.64K","-0.58%"
"10/23/2019","348.48","344.26","349.99","343.56","381.04K","1.44%"
"10/24/2019","340.63","349.00","349.00","339.33","218.55K","-2.25%"
"10/25/2019","345.67","339.43","348.67","337.27","188.39K","1.48%"
"10/28/2019","341.50","345.82","347.75","341.03","135.58K","-1.21%"
"10/29/2019","337.92","340.73","341.88","336.65","163.59K","-1.05%"
"10/30/2019","344.50","338.96","344.78","337.29","248.30K","1.95%"
"10/31/2019","331.62","344.14","345.77","331.09","309.05K","-3.74%"
"11/01/2019","352.33","329.00","358.89","327.97","488.63K","6.25%"
"11/04/2019","349.44","353.10","354.73","347.03","205.20K","-0.82%"
"11/05/2019","348.41","348.18","351.09","346.18","266.57K","-0.29%"
"11/06/2019","347.33","348.51","351.09","346.64","163.51K","-0.31%"
"11/07/2019","345.48","349.13","350.94","344.16","121.31K","-0.53%"
"11/08/2019","352.45","344.38","352.91","342.83","188.86K","2.02%"
"11/11/2019","349.93","351.15","354.08","349.26","143.36K","-0.72%"
"11/12/2019","352.72","350.21","357.61","349.62","175.86K","0.80%"
"11/13/2019","351.92","351.64","355.79","350.43","176.65K","-0.23%"
"11/14/2019","354.13","352.53","355.20","350.15","183.56K","0.63%"
"11/15/2019","355.89","355.58","357.60","354.68","136.89K","0.50%"
"11/18/2019","358.28","355.06","363.00","354.23","208.61K","0.67%"
"11/19/2019","364.12","359.59","365.79","358.64","122.26K","1.63%"
"11/20/2019","362.84","361.82","366.03","359.53","172.22K","-0.35%"
"11/21/2019","360.21","364.23","364.97","357.46","226.40K","-0.72%"
"11/22/2019","362.18","361.03","364.94","359.29","296.56K","0.55%"
"11/25/2019","368.83","363.60","370.73","363.52","244.46K","1.84%"
"11/26/2019","371.48","368.23","373.56","368.23","1.02M","0.72%"
