GVKEY,datadate,fyear,tic,conm,curcd,at,bkvlps,ceq,ceql,che,cogs,csho,dlc,dltt,dvc,ebit,ebitda,epsfx,lt,ni,revt,seq,costat,prcc_f,gross profit,gp/at,asset turnover,gross margin,div /share,div yeild,if pro,if div,
26892,31-Dec-21,2021,RETA,REATA PHARMACEUTICALS INC,USD,735.016,5.11,185.989,185.989,590.258,254.995,36.397,3.142,495.033,0,-244.708,-243.505,-8.19,549.027,-297.386,11.49,185.989,A,26.37,-243.505,-0.331292108,0.015632313,-21.19277633,0,0,FALSE,FALSE,
38883,31-Dec-21,2021,LYEL,LYELL IMMUNOPHARMA INC,USD,1127.406,3.8304,929.787,929.787,614.794,214.25,242.738,1.169,66.65,0,-217.1,-203.6,-1.06,197.619,-250.219,10.65,929.787,A,7.74,-203.6,-0.180591553,0.009446464,-19.11737089,0,0,FALSE,FALSE,
31249,31-Dec-21,2021,ALT,ALTIMMUNE INC,USD,218.865,4.8577,199.135,199.135,190.335,88.703,40.994,0.411,1.124,0,-84.844,-84.293,-2.35,19.73,-97.091,4.41,199.135,A,9.16,-84.293,-0.385136957,0.020149407,-19.11405896,0,0,FALSE,FALSE,
21020,31-Dec-21,2021,ADVM,ADVERUM BIOTECHNOLOGIES,USD,439.727,3.2139,316.185,316.185,305.188,147.914,98.381,1.886,101.108,0,-145.059,-140.414,-1.48,123.542,-145.54,7.5,316.185,A,1.76,-140.414,-0.319320851,0.017056037,-18.72186667,0,0,FALSE,FALSE,
175490,31-Dec-21,2021,YTEN,YIELD10 BIOSCIENCE INC,USD,20.415,3.2827,16.026,16.026,15.99,12.086,4.882,0.514,2.649,0,-11.692,-11.472,-2.33,4.389,-11.031,0.614,16.026,A,4.92,-11.472,-0.56193975,0.030075925,-18.68403909,0,0,FALSE,FALSE,
12713,31-Dec-21,2021,ABEO,ABEONA THERAPEUTICS INC,USD,79.586,0.349,51.375,51.375,50.024,57.12,147.205,1.818,7.56,0,-57.37,-54.12,-0.86,28.211,-84.936,3,51.375,A,0.337,-54.12,-0.680019099,0.037695072,-18.04,0,0,FALSE,FALSE,
35429,31-Dec-21,2021,RAPT,RAPT THERAPEUTICS INC,USD,198.636,6.3062,186.38,186.38,189.654,72.026,29.555,0,0,0,-69.209,-68.213,-2.53,12.256,-69.204,3.813,186.38,A,36.73,-68.213,-0.343407036,0.019195916,-17.88958825,0,0,FALSE,FALSE,
63531,31-Dec-21,2021,MVIS,MICROVISION INC,USD,130.225,0.686,112.754,112.754,115.367,45.418,164.363,1.262,5.009,0,-43.869,-42.918,-0.27,17.471,-43.2,2.5,112.754,A,5.01,-42.918,-0.329568055,0.019197543,-17.1672,0,0,FALSE,FALSE,
38474,31-Dec-21,2021,RXRX,RECURSION PHARMA INC,USD,610.345,3.1887,542.938,542.938,518.114,183.849,170.272,0.09,0.633,0,-182.775,-173.671,-1.13,67.407,-186.479,10.178,542.938,A,17.13,-173.671,-0.284545626,0.016675814,-17.06337198,0,0,FALSE,FALSE,
21012,31-Dec-21,2021,ATRA,ATARA BIOTHERAPEUTICS INC,USD,468.127,3.0502,279.614,279.614,371.262,351.37,91.671,2.753,25.547,0,-340.462,-331.03,-3.63,188.513,-340.141,20.34,279.614,A,15.76,-331.03,-0.707137166,0.043449748,-16.27482793,0,0,FALSE,FALSE,
