"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2020","74.35","74.29","74.93","73.12","40.01M","-1.66%"
"09/18/2020","72.55","74.42","74.76","71.58","63.06M","-2.42%"
"09/21/2020","71.51","71.58","72.00","70.13","56.91M","-1.44%"
"09/22/2020","72.99","72.52","73.20","71.47","33.95M","2.08%"
"09/23/2020","70.47","72.60","72.65","70.13","37.73M","-3.45%"
"09/24/2020","71.14","70.13","71.90","70.11","34.55M","0.96%"
"09/25/2020","71.95","71.25","72.30","70.38","30.33M","1.14%"
"09/28/2020","72.93","73.60","73.65","72.31","30.78M","1.36%"
"09/29/2020","73.30","73.20","73.60","72.70","31.82M","0.50%"
"09/30/2020","73.28","73.05","74.31","72.79","40.92M","-0.03%"
"10/01/2020","74.39","74.18","74.75","73.84","32.88M","1.52%"
"10/02/2020","72.78","72.98","73.95","72.37","31.22M","-2.17%"
"10/05/2020","74.14","73.13","74.24","73.00","21.60M","1.87%"
"10/06/2020","72.55","73.78","74.23","72.25","26.10M","-2.15%"
"10/07/2020","72.96","72.97","73.45","71.66","36.11M","0.56%"
"10/08/2020","74.17","73.27","74.40","73.27","26.08M","1.66%"
"10/09/2020","75.52","74.64","75.59","74.35","32.97M","1.82%"
"10/12/2020","78.23","76.90","79.42","76.46","55.34M","3.58%"
"10/13/2020","78.35","78.85","79.26","77.93","39.07M","0.16%"
"10/14/2020","78.17","78.73","79.19","77.29","33.18M","-0.23%"
"10/15/2020","77.77","77.22","78.57","77.06","31.23M","-0.51%"
"10/16/2020","78.39","78.09","78.89","77.88","34.21M","0.79%"
"10/19/2020","76.50","78.80","79.20","76.15","29.73M","-2.41%"
"10/20/2020","77.55","76.16","78.69","76.03","41.72M","1.38%"
"10/21/2020","79.30","78.49","80.76","78.36","60.32M","2.25%"
"10/22/2020","80.33","79.25","80.67","78.87","30.52M","1.30%"
"10/23/2020","81.65","80.75","81.71","80.60","30.55M","1.64%"
"10/26/2020","79.21","80.75","81.48","78.39","35.83M","-2.98%"
"10/27/2020","79.94","79.45","80.10","78.85","25.90M","0.92%"
"10/28/2020","75.54","77.50","77.69","75.42","45.17M","-5.51%"
"10/29/2020","77.84","75.85","79.44","75.83","55.41M","3.05%"
"10/30/2020","80.81","83.37","84.07","80.08","99.92M","3.80%"
"11/02/2020","81.22","81.18","82.91","80.71","44.23M","0.51%"
"11/03/2020","82.28","81.54","82.95","80.61","31.43M","1.31%"
"11/04/2020","87.29","85.28","88.50","85.15","71.34M","6.09%"
"11/05/2020","88.13","88.52","89.59","87.05","39.76M","0.95%"
"11/06/2020","87.99","87.57","88.42","86.83","28.62M","-0.16%"
"11/09/2020","88.07","89.80","90.84","87.88","53.44M","0.10%"
"11/10/2020","86.89","86.49","87.97","85.81","43.02M","-1.35%"
"11/11/2020","87.36","87.42","88.14","87.15","31.84M","0.55%"
