"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2020","1,090.03","1,077.20","1,094.71","1,071.88","42.88K","1.12%"
"08/10/2020","1,099.15","1,082.20","1,100.00","1,082.20","36.27K","0.84%"
"08/11/2020","1,093.68","1,113.39","1,124.00","1,087.50","36.92K","-0.50%"
"08/12/2020","1,072.66","1,100.00","1,106.02","1,065.14","28.38K","-1.92%"
"08/13/2020","1,083.91","1,067.66","1,091.95","1,058.92","31.66K","1.05%"
"08/14/2020","1,097.18","1,081.33","1,099.59","1,073.41","34.60K","1.22%"
"08/17/2020","1,073.50","1,094.29","1,094.29","1,065.18","20.07K","-2.16%"
"08/18/2020","1,072.25","1,076.08","1,100.00","1,064.10","26.60K","-0.12%"
"08/19/2020","1,074.43","1,073.25","1,081.01","1,067.51","28.90K","0.20%"
"08/20/2020","1,068.84","1,064.55","1,076.81","1,061.01","24.27K","-0.52%"
"08/21/2020","1,069.22","1,068.08","1,074.80","1,062.53","21.57K","0.04%"
"08/24/2020","1,089.07","1,069.22","1,091.70","1,069.22","29.11K","1.86%"
"08/25/2020","1,095.77","1,091.70","1,100.00","1,077.00","33.78K","0.62%"
"08/26/2020","1,085.42","1,089.00","1,089.98","1,077.89","30.75K","-0.94%"
"08/27/2020","1,111.62","1,094.00","1,124.00","1,093.11","27.34K","2.41%"
"08/28/2020","1,103.37","1,118.00","1,118.00","1,099.04","37.46K","-0.74%"
"08/31/2020","1,086.83","1,098.08","1,102.00","1,083.20","52.34K","-1.50%"
"09/01/2020","1,087.82","1,075.99","1,089.99","1,069.22","30.39K","0.09%"
"09/02/2020","1,102.72","1,096.23","1,114.13","1,081.16","33.79K","1.37%"
"09/03/2020","1,091.74","1,104.40","1,119.60","1,073.01","42.96K","-1.00%"
"09/04/2020","1,068.62","1,117.70","1,117.70","1,062.96","35.07K","-2.12%"
"09/08/2020","1,029.84","1,059.32","1,059.32","1,022.22","43.99K","-3.63%"
"09/09/2020","1,049.65","1,042.86","1,059.76","1,033.10","56.42K","1.92%"
"09/10/2020","1,044.97","1,050.67","1,056.45","1,035.20","39.08K","-0.45%"
"09/11/2020","1,052.22","1,045.45","1,057.99","1,036.34","40.96K","0.69%"
"09/14/2020","1,046.40","1,055.47","1,062.35","1,042.65","26.49K","-0.55%"
"09/15/2020","1,030.23","1,059.97","1,059.97","1,030.01","46.47K","-1.55%"
"09/16/2020","1,027.66","1,030.27","1,046.62","1,026.35","33.02K","-0.25%"
"09/17/2020","1,009.05","1,022.88","1,022.88","999.16","44.77K","-1.81%"
"09/18/2020","979.66","1,013.87","1,017.76","976.33","98.08K","-2.91%"
"09/21/2020","966.59","959.43","979.48","942.43","61.69K","-1.33%"
"09/22/2020","976.90","971.02","994.50","971.02","47.23K","1.07%"
"09/23/2020","951.13","978.99","985.20","950.02","42.49K","-2.64%"
"09/24/2020","951.00","956.00","972.19","945.85","34.17K","-0.01%"
"09/25/2020","949.18","938.23","952.39","938.23","36.03K","-0.19%"
"09/28/2020","978.37","965.97","996.95","956.01","52.50K","3.08%"
"09/29/2020","968.65","974.83","978.99","958.10","42.83K","-0.99%"
"09/30/2020","973.70","971.18","988.45","962.02","54.98K","0.52%"
"10/01/2020","965.65","981.29","987.05","954.90","41.54K","-0.83%"
"10/02/2020","976.69","946.57","985.30","944.97","31.14K","1.14%"
"10/05/2020","996.78","981.07","999.88","967.10","56.67K","2.06%"
"10/06/2020","978.95","997.94","997.94","976.12","48.01K","-1.79%"
"10/07/2020","981.95","989.38","999.11","974.74","54.88K","0.31%"
"10/08/2020","998.00","983.35","999.70","983.35","32.98K","1.63%"
"10/09/2020","985.47","1,000.00","1,004.89","985.47","37.25K","-1.26%"
"10/12/2020","1,022.02","982.31","1,028.00","982.31","47.97K","3.71%"
"10/13/2020","989.59","1,015.30","1,032.48","989.59","45.24K","-3.17%"
"10/14/2020","989.37","993.00","1,010.00","986.72","32.95K","-0.02%"
"10/15/2020","983.54","973.33","994.77","971.00","38.55K","-0.59%"
"10/16/2020","971.62","987.54","991.74","970.00","44.73K","-1.21%"
"10/19/2020","954.22","971.62","979.72","948.00","51.03K","-1.79%"
"10/20/2020","958.80","960.07","974.08","956.43","53.67K","0.48%"
"10/21/2020","994.63","956.25","1,002.15","956.14","71.49K","3.74%"
"10/22/2020","1,014.85","996.30","1,024.09","990.17","62.36K","2.03%"
"10/23/2020","1,027.00","1,024.15","1,031.86","1,011.86","49.60K","1.20%"
"10/26/2020","995.99","1,013.16","1,013.16","982.58","41.96K","-3.02%"
"10/27/2020","969.65","992.27","1,006.03","967.48","51.17K","-2.64%"
"10/28/2020","936.63","946.50","976.33","931.92","58.12K","-3.41%"
"10/29/2020","952.60","939.99","961.57","923.00","49.99K","1.71%"
"10/30/2020","932.80","948.99","963.00","913.04","69.20K","-2.08%"
"11/02/2020","960.03","947.78","966.15","938.10","65.43K","2.92%"
"11/03/2020","975.66","960.00","986.02","960.00","92.05K","1.63%"
"11/04/2020","975.77","965.58","991.00","951.15","70.18K","0.01%"
"11/05/2020","991.42","987.04","1,004.41","978.52","54.24K","1.60%"
